Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Specimen origin,Metabolic rate (W),Body mass (g),Temperature (K)
Mammalia,Afrosoricida,Tenrecidae,Echinops,telfairi,Lesser hedgehog tenrec,365.0,365.0,55.0,29.0,6.0,1.0,,7.67,50.0,180.0,0.0301,19.0,captivity,0.75,116.4,307.85
Mammalia,Afrosoricida,Tenrecidae,Geogale,aurita,Large-eared tenrec,,,63.0,37.0,3.9,2.0,,0.7,,6.7,,,unknown,0.043,6.9,303.95
Mammalia,Afrosoricida,Tenrecidae,Hemicentetes,semispinosus,Streaked tenrec,35.0,,59.0,21.0,4.0,2.0,,11.5,,180.0,,2.7,captivity,0.38,116.4,308.15
Mammalia,Afrosoricida,Tenrecidae,Microgale,dobsoni,Dobson's shrew tenrec,669.0,669.0,61.0,29.0,2.67,,,3.95,,37.8,0.0266,5.6,captivity,0.315,44.6,304.05
Mammalia,Afrosoricida,Tenrecidae,Microgale,talazaci,Talazac's shrew tenrec,639.0,639.0,61.0,29.0,2.0,,,3.6,,50.0,0.0298,5.8,captivity,0.243,44.0,303.95
Mammalia,Afrosoricida,Tenrecidae,Setifer,setosus,Greater hedgehog tenrec,198.0,258.0,54.0,24.0,3.0,1.0,,24.7,,225.0,0.0419,14.1,captivity,0.573,427.6,305.35
Mammalia,Afrosoricida,Tenrecidae,Tenrec,ecaudatus,"Tailess tenrec, or Tenrec",182.0,,58.0,27.0,18.0,1.5,,21.0,225.0,900.0,0.0445,8.7,captivity,0.729,650.0,306.15
Mammalia,Artiodactyla,Antilocapridae,Antilocapra,americana,Pronghorn,547.0,547.0,235.0,91.0,2.0,1.0,365.0,3000.0,8900.0,46100.0,0.0083,17.0,captivity,50.973,34779.3,311.15
Mammalia,Artiodactyla,Bovidae,Addax,nasomaculatus,Addax,1065.0,,282.0,198.0,1.0,1.0,355.0,5600.0,,92500.0,,28.0,captivity,,,
Mammalia,Artiodactyla,Bovidae,Aepyceros,melampus,Impala,456.0,395.0,198.0,167.0,1.0,1.0,365.0,5550.0,15900.0,52500.0,0.0043,25.6,captivity,,,
Mammalia,Artiodactyla,Bovidae,Alcelaphus,buselaphus,Hartebeest,730.0,,247.0,193.0,1.0,1.0,365.0,9050.0,,159000.0,,22.5,captivity,,,
Mammalia,Artiodactyla,Bovidae,Ammodorcas,clarkei,Dibatag,,,204.0,,1.0,,,,,30500.0,,,unknown,,,
Mammalia,Artiodactyla,Bovidae,Ammotragus,lervia,Aoudad,335.0,,149.0,122.0,1.2,2.0,229.0,4500.0,,92500.0,0.0053,21.7,captivity,,,
Mammalia,Artiodactyla,Bovidae,Antidorcas,marsupialis,Springbok,213.0,400.0,168.0,121.0,1.0,1.0,365.0,4160.0,,39000.0,0.0137,19.8,captivity,,,312.55
Mammalia,Artiodactyla,Bovidae,Antilope,cervicapra,Blackbuck,466.0,,168.0,60.0,1.0,1.9,231.0,3850.0,,37500.0,,23.9,captivity,,,
